Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
0.0,34.0,45.0,34.0,31.0,0.0,100.0
6.0,34.0,45.0,34.0,31.0,30.0,90.0
12.0,34.0,45.0,34.0,32.0,30.0,90.0
51.0,34.0,45.0,34.0,32.0,30.0,90.0
90.0,35.0,46.0,34.0,32.0,30.0,90.0
128.0,40.0,44.0,33.0,32.0,30.0,90.0
168.0,45.0,46.0,33.0,32.0,0.0,100.0
207.0,48.0,43.0,32.0,31.0,0.0,100.0
247.0,45.0,45.0,33.0,32.0,0.0,100.0
287.0,36.0,45.0,33.0,32.0,79.0,41.0
326.0,34.0,43.0,34.0,32.0,30.0,90.0
366.0,34.0,44.0,34.0,32.0,30.0,90.0
405.0,34.0,43.0,35.0,31.0,30.0,90.0
444.0,34.0,39.0,39.0,32.0,30.0,90.0
484.0,32.0,34.0,57.0,32.0,100.0,0.0
523.0,33.0,32.0,69.0,33.0,90.0,30.0
563.0,33.0,32.0,62.0,32.0,90.0,30.0
602.0,33.0,32.0,62.0,32.0,90.0,30.0
642.0,33.0,34.0,48.0,31.0,90.0,30.0
682.0,33.0,41.0,35.0,30.0,0.0,100.0
721.0,34.0,43.0,33.0,31.0,30.0,90.0
761.0,34.0,44.0,33.0,31.0,30.0,90.0
800.0,34.0,43.0,33.0,31.0,30.0,90.0
840.0,34.0,41.0,33.0,31.0,30.0,90.0
879.0,33.0,44.0,33.0,32.0,30.0,90.0
919.0,32.0,39.0,38.0,31.0,30.0,90.0
959.0,33.0,32.0,61.0,32.0,100.0,0.0
997.0,32.0,32.0,98.0,34.0,90.0,30.0
1037.0,32.0,31.0,60.0,35.0,90.0,30.0
1077.0,33.0,30.0,44.0,48.0,100.0,0.0
1118.0,32.0,31.0,34.0,60.0,100.0,0.0
1159.0,32.0,31.0,33.0,47.0,100.0,0.0
1199.0,33.0,31.0,33.0,48.0,100.0,0.0
1240.0,33.0,30.0,33.0,55.0,100.0,0.0
1281.0,33.0,32.0,37.0,83.0,100.0,0.0
1321.0,33.0,32.0,100.0,37.0,0.0,100.0
1363.0,33.0,32.0,103.0,32.0,90.0,30.0
1404.0,33.0,35.0,49.0,32.0,90.0,30.0
1445.0,34.0,44.0,34.0,32.0,0.0,100.0
1486.0,41.0,45.0,33.0,32.0,0.0,100.0
1526.0,46.0,43.0,32.0,30.0,0.0,100.0
1567.0,42.0,46.0,33.0,32.0,0.0,100.0
1607.0,36.0,47.0,33.0,31.0,79.0,41.0
1648.0,34.0,45.0,34.0,32.0,30.0,90.0
1689.0,33.0,43.0,34.0,32.0,30.0,90.0
1729.0,33.0,43.0,34.0,32.0,30.0,90.0
1770.0,33.0,37.0,44.0,33.0,100.0,0.0
1809.0,34.0,33.0,85.0,32.0,90.0,30.0
1850.0,34.0,34.0,67.0,32.0,90.0,30.0
1891.0,33.0,32.0,106.0,32.0,90.0,30.0
1932.0,32.0,32.0,92.0,32.0,90.0,30.0
1973.0,33.0,32.0,106.0,33.0,90.0,30.0
2015.0,33.0,32.0,79.0,38.0,90.0,30.0
2055.0,32.0,32.0,47.0,54.0,100.0,0.0
2096.0,33.0,31.0,36.0,87.0,100.0,0.0
2136.0,33.0,31.0,33.0,88.0,100.0,0.0
2177.0,32.0,31.0,34.0,57.0,100.0,0.0
2218.0,32.0,31.0,37.0,56.0,100.0,0.0
2258.0,33.0,31.0,45.0,45.0,70.0,50.0
2299.0,33.0,31.0,64.0,38.0,41.0,79.0
2339.0,33.0,31.0,64.0,39.0,90.0,30.0
2380.0,33.0,32.0,40.0,62.0,100.0,0.0
2421.0,33.0,31.0,35.0,47.0,100.0,0.0
2461.0,32.0,31.0,39.0,54.0,100.0,0.0
2502.0,32.0,31.0,55.0,37.0,0.0,100.0
2542.0,33.0,31.0,57.0,31.0,90.0,30.0
2583.0,33.0,32.0,50.0,32.0,90.0,30.0
2624.0,33.0,38.0,40.0,32.0,90.0,30.0
2663.0,34.0,42.0,33.0,31.0,0.0,100.0
2704.0,54.0,38.0,33.0,31.0,0.0,100.0
2745.0,52.0,33.0,32.0,32.0,0.0,100.0
2785.0,55.0,35.0,33.0,32.0,0.0,100.0
2826.0,53.0,39.0,33.0,31.0,0.0,100.0
2866.0,40.0,47.0,33.0,32.0,100.0,0.0
2907.0,35.0,45.0,33.0,31.0,30.0,90.0
2948.0,36.0,45.0,34.0,32.0,30.0,90.0
2988.0,37.0,44.0,33.0,31.0,30.0,90.0
3029.0,39.0,44.0,33.0,31.0,30.0,90.0
3069.0,43.0,43.0,33.0,31.0,0.0,100.0
3110.0,79.0,41.0,34.0,32.0,0.0,100.0
3151.0,69.0,39.0,33.0,32.0,0.0,100.0
