Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
0.0,35.0,51.0,35.0,32.0,0.0,100.0
6.0,36.0,51.0,35.0,32.0,30.0,90.0
12.0,36.0,50.0,36.0,33.0,30.0,90.0
51.0,36.0,54.0,35.0,33.0,30.0,90.0
90.0,42.0,48.0,35.0,33.0,0.0,100.0
128.0,64.0,48.0,34.0,32.0,0.0,100.0
168.0,109.0,45.0,34.0,33.0,0.0,100.0
207.0,94.0,47.0,33.0,32.0,0.0,100.0
247.0,70.0,46.0,34.0,32.0,0.0,100.0
287.0,67.0,45.0,33.0,32.0,0.0,100.0
326.0,56.0,46.0,33.0,32.0,0.0,100.0
366.0,61.0,45.0,33.0,32.0,0.0,100.0
405.0,53.0,45.0,33.0,32.0,0.0,100.0
445.0,48.0,46.0,33.0,32.0,0.0,100.0
485.0,53.0,44.0,33.0,33.0,0.0,100.0
524.0,47.0,45.0,34.0,32.0,0.0,100.0
564.0,45.0,46.0,34.0,33.0,0.0,100.0
603.0,41.0,47.0,33.0,32.0,0.0,100.0
643.0,38.0,47.0,33.0,32.0,79.0,41.0
683.0,37.0,48.0,34.0,32.0,30.0,90.0
722.0,41.0,44.0,34.0,32.0,0.0,100.0
761.0,50.0,41.0,33.0,32.0,0.0,100.0
800.0,49.0,41.0,34.0,33.0,0.0,100.0
840.0,40.0,44.0,33.0,32.0,79.0,41.0
880.0,36.0,47.0,34.0,33.0,30.0,90.0
919.0,36.0,47.0,34.0,32.0,30.0,90.0
959.0,36.0,45.0,34.0,32.0,30.0,90.0
998.0,34.0,46.0,34.0,32.0,30.0,90.0
1038.0,33.0,43.0,35.0,31.0,30.0,90.0
1078.0,33.0,39.0,52.0,31.0,100.0,0.0
1119.0,33.0,33.0,114.0,33.0,90.0,30.0
1161.0,33.0,32.0,84.0,32.0,90.0,30.0
1201.0,33.0,34.0,102.0,32.0,90.0,30.0
1243.0,33.0,41.0,44.0,32.0,10.0,100.0
1285.0,33.0,46.0,36.0,32.0,0.0,100.0
1325.0,33.0,45.0,35.0,32.0,30.0,90.0
1366.0,33.0,44.0,40.0,32.0,30.0,90.0
1406.0,33.0,40.0,48.0,32.0,100.0,0.0
1447.0,33.0,35.0,539.0,33.0,90.0,30.0
1489.0,33.0,34.0,180.0,34.0,90.0,30.0
1529.0,34.0,32.0,157.0,46.0,100.0,0.0
1571.0,33.0,32.0,68.0,118.0,100.0,0.0
1613.0,33.0,32.0,127.0,41.0,100.0,0.0
1654.0,34.0,32.0,112.0,32.0,41.0,79.0
1696.0,34.0,40.0,55.0,32.0,90.0,30.0
1736.0,34.0,46.0,37.0,33.0,0.0,100.0
1777.0,34.0,46.0,34.0,32.0,30.0,90.0
1818.0,36.0,46.0,33.0,32.0,30.0,90.0
1858.0,37.0,47.0,34.0,31.0,30.0,90.0
1899.0,36.0,47.0,33.0,32.0,30.0,90.0
1939.0,35.0,51.0,34.0,32.0,30.0,90.0
1980.0,34.0,48.0,34.0,33.0,30.0,90.0
2021.0,33.0,43.0,34.0,32.0,30.0,90.0
2061.0,34.0,47.0,37.0,33.0,30.0,90.0
2102.0,33.0,41.0,53.0,32.0,100.0,10.0
2143.0,34.0,34.0,157.0,33.0,100.0,0.0
2185.0,33.0,33.0,114.0,33.0,90.0,30.0
2227.0,33.0,34.0,152.0,33.0,90.0,30.0
2268.0,33.0,33.0,142.0,34.0,90.0,30.0
2310.0,34.0,32.0,151.0,40.0,90.0,30.0
2352.0,33.0,32.0,43.0,250.0,100.0,0.0
2393.0,33.0,31.0,35.0,212.0,100.0,0.0
2435.0,33.0,32.0,32.0,38.0,100.0,0.0
2475.0,33.0,31.0,33.0,32.0,100.0,0.0
2516.0,33.0,32.0,33.0,32.0,100.0,0.0
2557.0,34.0,32.0,33.0,32.0,100.0,0.0
2596.0,34.0,32.0,33.0,32.0,100.0,0.0
2637.0,33.0,32.0,33.0,31.0,100.0,0.0
2678.0,33.0,31.0,33.0,32.0,100.0,0.0
2718.0,34.0,32.0,33.0,32.0,100.0,0.0
2759.0,33.0,31.0,33.0,54.0,100.0,0.0
2799.0,33.0,31.0,34.0,218.0,100.0,0.0
2841.0,33.0,32.0,90.0,33.0,0.0,100.0
2882.0,33.0,45.0,42.0,33.0,10.0,100.0
2923.0,35.0,46.0,34.0,31.0,0.0,100.0
2964.0,40.0,42.0,33.0,32.0,30.0,90.0
3004.0,43.0,47.0,34.0,32.0,0.0,100.0
3045.0,54.0,41.0,33.0,32.0,0.0,100.0
3086.0,47.0,44.0,33.0,32.0,0.0,100.0
3126.0,40.0,44.0,33.0,32.0,79.0,41.0
3167.0,36.0,46.0,34.0,33.0,30.0,90.0
3207.0,38.0,45.0,33.0,32.0,30.0,90.0
3248.0,41.0,46.0,34.0,32.0,0.0,100.0
3289.0,40.0,45.0,34.0,32.0,79.0,41.0
3329.0,39.0,45.0,33.0,33.0,30.0,90.0
3370.0,42.0,42.0,33.0,31.0,0.0,100.0
3411.0,53.0,37.0,33.0,32.0,0.0,100.0
3450.0,49.0,39.0,34.0,32.0,0.0,100.0
3491.0,40.0,46.0,33.0,32.0,100.0,0.0
3531.0,35.0,47.0,34.0,33.0,30.0,90.0
3572.0,41.0,48.0,34.0,33.0,0.0,100.0
3613.0,53.0,43.0,33.0,33.0,0.0,100.0
3653.0,48.0,45.0,34.0,33.0,0.0,100.0
3694.0,39.0,46.0,34.0,33.0,79.0,41.0
