Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
0.0,34.0,32.0,52.0,41.0,100.0,0.0
6.0,34.0,33.0,52.0,42.0,100.0,0.0
13.0,34.0,32.0,52.0,42.0,100.0,0.0
52.0,34.0,32.0,79.0,39.0,41.0,79.0
90.0,34.0,32.0,120.0,37.0,90.0,30.0
129.0,33.0,32.0,124.0,36.0,90.0,30.0
170.0,33.0,32.0,154.0,35.0,90.0,30.0
210.0,34.0,32.0,107.0,33.0,90.0,30.0
251.0,33.0,32.0,123.0,33.0,90.0,30.0
292.0,34.0,34.0,150.0,32.0,90.0,30.0
332.0,33.0,41.0,48.0,32.0,10.0,100.0
373.0,34.0,46.0,35.0,33.0,0.0,100.0
412.0,40.0,48.0,34.0,32.0,30.0,90.0
452.0,42.0,51.0,33.0,32.0,0.0,100.0
492.0,44.0,47.0,34.0,32.0,0.0,100.0
531.0,40.0,49.0,34.0,32.0,79.0,41.0
571.0,37.0,51.0,35.0,33.0,30.0,90.0
610.0,39.0,46.0,34.0,33.0,30.0,90.0
650.0,45.0,44.0,33.0,32.0,0.0,100.0
689.0,65.0,39.0,34.0,32.0,0.0,100.0
728.0,60.0,38.0,33.0,33.0,0.0,100.0
768.0,48.0,41.0,33.0,32.0,50.0,70.0
807.0,44.0,44.0,34.0,32.0,0.0,100.0
847.0,48.0,41.0,33.0,32.0,0.0,100.0
887.0,43.0,41.0,33.0,32.0,0.0,100.0
926.0,38.0,47.0,34.0,32.0,79.0,41.0
966.0,37.0,48.0,34.0,32.0,30.0,90.0
1005.0,36.0,46.0,34.0,32.0,30.0,90.0
1046.0,39.0,44.0,34.0,32.0,30.0,90.0
1087.0,42.0,45.0,34.0,33.0,0.0,100.0
1127.0,43.0,43.0,33.0,32.0,0.0,100.0
1168.0,39.0,44.0,33.0,32.0,79.0,41.0
1208.0,36.0,47.0,34.0,32.0,30.0,90.0
1249.0,38.0,44.0,32.0,31.0,30.0,90.0
1290.0,39.0,45.0,33.0,32.0,30.0,90.0
1329.0,37.0,46.0,33.0,31.0,30.0,90.0
1370.0,34.0,45.0,34.0,32.0,30.0,90.0
1410.0,34.0,47.0,34.0,32.0,30.0,90.0
1451.0,34.0,46.0,39.0,32.0,30.0,90.0
1492.0,33.0,36.0,98.0,32.0,100.0,0.0
1532.0,33.0,32.0,50.0,35.0,90.0,30.0
1573.0,33.0,32.0,95.0,35.0,90.0,30.0
1613.0,33.0,32.0,83.0,37.0,90.0,30.0
1654.0,32.0,31.0,50.0,34.0,90.0,30.0
1695.0,33.0,31.0,60.0,162.0,100.0,0.0
1736.0,33.0,32.0,43.0,251.0,100.0,0.0
1778.0,33.0,31.0,36.0,192.0,100.0,0.0
1820.0,33.0,31.0,37.0,234.0,100.0,0.0
1861.0,32.0,31.0,48.0,54.0,70.0,50.0
1902.0,33.0,31.0,87.0,32.0,41.0,79.0
1942.0,33.0,33.0,96.0,32.0,90.0,30.0
1983.0,33.0,36.0,108.0,32.0,90.0,30.0
2025.0,34.0,44.0,40.0,32.0,0.0,100.0
2065.0,34.0,45.0,34.0,33.0,30.0,90.0
2106.0,35.0,46.0,34.0,32.0,30.0,90.0
2146.0,34.0,48.0,34.0,32.0,30.0,90.0
2187.0,34.0,46.0,35.0,32.0,30.0,90.0
2228.0,33.0,45.0,36.0,32.0,30.0,90.0
2267.0,34.0,48.0,40.0,33.0,30.0,90.0
2308.0,34.0,39.0,86.0,32.0,100.0,0.0
2349.0,34.0,35.0,120.0,33.0,90.0,30.0
2390.0,33.0,37.0,340.0,32.0,90.0,30.0
2432.0,34.0,38.0,132.0,33.0,90.0,30.0
2473.0,34.0,39.0,131.0,32.0,90.0,30.0
2515.0,34.0,38.0,113.0,32.0,90.0,30.0
2557.0,33.0,35.0,143.0,32.0,90.0,30.0
2598.0,33.0,33.0,112.0,37.0,90.0,30.0
2640.0,33.0,32.0,58.0,201.0,100.0,0.0
2682.0,33.0,31.0,40.0,224.0,100.0,0.0
2723.0,33.0,32.0,35.0,190.0,100.0,0.0
2765.0,33.0,31.0,33.0,158.0,100.0,0.0
2806.0,34.0,31.0,33.0,125.0,100.0,0.0
