Time,sensorLL,sensorCL,sensorCR,sensorRR,motorL,motorR
0.0,33.0,34.0,201.0,33.0,100.0,0.0
7.0,34.0,35.0,201.0,33.0,90.0,30.0
15.0,34.0,35.0,202.0,33.0,90.0,30.0
55.0,34.0,35.0,174.0,33.0,90.0,30.0
95.0,34.0,40.0,133.0,33.0,90.0,30.0
133.0,35.0,59.0,42.0,33.0,10.0,100.0
174.0,43.0,51.0,35.0,33.0,0.0,100.0
213.0,163.0,47.0,34.0,33.0,0.0,100.0
254.0,136.0,39.0,34.0,32.0,0.0,100.0
295.0,153.0,39.0,34.0,33.0,0.0,100.0
335.0,160.0,38.0,34.0,32.0,0.0,100.0
376.0,166.0,38.0,34.0,33.0,0.0,100.0
416.0,137.0,38.0,33.0,33.0,0.0,100.0
457.0,61.0,39.0,34.0,32.0,0.0,100.0
497.0,48.0,43.0,33.0,33.0,50.0,70.0
536.0,42.0,49.0,34.0,32.0,0.0,100.0
576.0,37.0,46.0,34.0,33.0,79.0,41.0
615.0,35.0,45.0,34.0,32.0,30.0,90.0
655.0,34.0,46.0,34.0,32.0,30.0,90.0
695.0,34.0,41.0,35.0,32.0,30.0,90.0
734.0,34.0,45.0,37.0,32.0,30.0,90.0
773.0,34.0,39.0,59.0,32.0,100.0,0.0
812.0,33.0,32.0,123.0,33.0,90.0,30.0
853.0,33.0,32.0,92.0,34.0,90.0,30.0
893.0,33.0,32.0,83.0,34.0,90.0,30.0
932.0,33.0,32.0,89.0,32.0,90.0,30.0
972.0,33.0,32.0,112.0,32.0,90.0,30.0
1012.0,33.0,36.0,94.0,32.0,90.0,30.0
1053.0,34.0,45.0,38.0,32.0,0.0,100.0
1094.0,34.0,48.0,34.0,32.0,30.0,90.0
1134.0,34.0,48.0,35.0,33.0,30.0,90.0
1175.0,34.0,47.0,34.0,32.0,30.0,90.0
1215.0,33.0,45.0,40.0,32.0,30.0,90.0
1256.0,33.0,34.0,496.0,32.0,100.0,0.0
1298.0,33.0,31.0,73.0,257.0,100.0,0.0
1339.0,34.0,32.0,34.0,163.0,100.0,0.0
1381.0,32.0,32.0,33.0,36.0,100.0,0.0
1422.0,32.0,31.0,32.0,32.0,100.0,0.0
1462.0,33.0,31.0,33.0,33.0,100.0,0.0
1503.0,32.0,31.0,34.0,39.0,100.0,0.0
1543.0,33.0,32.0,33.0,198.0,100.0,0.0
1584.0,33.0,32.0,39.0,256.0,100.0,0.0
1626.0,33.0,32.0,110.0,33.0,0.0,100.0
1667.0,34.0,47.0,42.0,32.0,10.0,100.0
1709.0,36.0,51.0,35.0,33.0,0.0,100.0
1749.0,38.0,52.0,34.0,32.0,30.0,90.0
1790.0,39.0,48.0,34.0,34.0,30.0,90.0
1831.0,41.0,46.0,34.0,32.0,0.0,100.0
1871.0,41.0,46.0,34.0,33.0,0.0,100.0
1912.0,36.0,50.0,34.0,33.0,79.0,41.0
1953.0,33.0,49.0,35.0,33.0,30.0,90.0
1993.0,35.0,48.0,35.0,32.0,30.0,90.0
2034.0,34.0,47.0,36.0,31.0,30.0,90.0
2074.0,33.0,42.0,46.0,31.0,100.0,10.0
2116.0,33.0,34.0,155.0,32.0,100.0,0.0
2158.0,33.0,32.0,126.0,34.0,90.0,30.0
2199.0,33.0,32.0,82.0,44.0,100.0,0.0
2240.0,33.0,32.0,93.0,276.0,100.0,0.0
2281.0,34.0,31.0,49.0,244.0,100.0,0.0
2323.0,34.0,32.0,60.0,213.0,100.0,0.0
2365.0,33.0,32.0,147.0,40.0,41.0,79.0
2406.0,34.0,32.0,193.0,33.0,90.0,30.0
2448.0,33.0,32.0,141.0,35.0,90.0,30.0
2490.0,33.0,32.0,68.0,311.0,100.0,0.0
2531.0,34.0,31.0,40.0,245.0,100.0,0.0
2573.0,34.0,32.0,36.0,246.0,100.0,0.0
2614.0,33.0,31.0,37.0,232.0,100.0,0.0
2656.0,33.0,32.0,59.0,38.0,0.0,100.0
2697.0,34.0,33.0,142.0,32.0,90.0,30.0
